locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAGFDIAF_02001	CDS	375				hypothetical protein
KAGFDIAF_02002	CDS	735				hypothetical protein
KAGFDIAF_02003	CDS	564	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
KAGFDIAF_02004	CDS	759	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
KAGFDIAF_02005	CDS	1359	ydjE_2			Inner membrane metabolite transport protein YdjE
KAGFDIAF_02006	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
KAGFDIAF_02007	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
KAGFDIAF_02008	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
KAGFDIAF_02009	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
KAGFDIAF_02010	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
KAGFDIAF_02011	CDS	1962	topB	5.6.2.1	COG0550	DNA topoisomerase 3
KAGFDIAF_02012	CDS	1041	ynjI			Inner membrane protein YnjI
KAGFDIAF_02013	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
KAGFDIAF_02014	CDS	816	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
KAGFDIAF_02015	CDS	2433	pflD	4.2.1.172	COG1882	Trans-4-hydroxy-L-proline dehydratase
KAGFDIAF_02016	CDS	900	cutD	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
KAGFDIAF_02017	CDS	663	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
KAGFDIAF_02018	CDS	750	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
KAGFDIAF_02019	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
KAGFDIAF_02020	CDS	966	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
KAGFDIAF_02021	CDS	1872	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
KAGFDIAF_02022	CDS	1539	gsiB		COG0747	Glutathione-binding protein GsiB
KAGFDIAF_02023	CDS	921	gsiC		COG0601	Glutathione transport system permease protein GsiC
KAGFDIAF_02024	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
KAGFDIAF_02025	CDS	1053	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
KAGFDIAF_02026	CDS	969	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
KAGFDIAF_02027	CDS	3324	mscM		COG3264	Miniconductance mechanosensitive channel MscM
KAGFDIAF_02028	CDS	1458	yjeM			Inner membrane transporter YjeM
KAGFDIAF_02029	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
KAGFDIAF_02030	CDS	1809	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
KAGFDIAF_02031	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
KAGFDIAF_02032	CDS	396	frdC		COG3029	Fumarate reductase subunit C
KAGFDIAF_02033	CDS	360	frdD		COG3080	Fumarate reductase subunit D
KAGFDIAF_02034	CDS	1197	yjgN		COG4269	Inner membrane protein YjgN
KAGFDIAF_02035	CDS	2856	valS	6.1.1.9	COG0525	Valine--tRNA ligase
KAGFDIAF_02036	CDS	444	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
KAGFDIAF_02037	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
KAGFDIAF_02038	CDS	1080	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
KAGFDIAF_02039	CDS	1083	lptG_1		COG0795	Lipopolysaccharide export system permease protein LptG
KAGFDIAF_02040	CDS	1503				hypothetical protein
KAGFDIAF_02041	CDS	999	gntR_2			HTH-type transcriptional regulator GntR
KAGFDIAF_02042	CDS	1134	idnT		COG2610	Gnt-II system L-idonate transporter
KAGFDIAF_02043	CDS	288				hypothetical protein
KAGFDIAF_02044	CDS	240				hypothetical protein
KAGFDIAF_02045	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
KAGFDIAF_02046	CDS	1374	ribZ			Riboflavin transporter RibZ
KAGFDIAF_02047	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
KAGFDIAF_02048	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
KAGFDIAF_02049	CDS	699	proQ		COG3109	RNA chaperone ProQ
KAGFDIAF_02050	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
KAGFDIAF_02051	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
KAGFDIAF_02052	CDS	2634	yebT		COG3008	Intermembrane transport protein YebT
KAGFDIAF_02053	CDS	918				hypothetical protein
KAGFDIAF_02054	CDS	873	era_1			GTPase Era
KAGFDIAF_02055	CDS	2847	flu		COG3468	Antigen 43
KAGFDIAF_02056	CDS	2517				hypothetical protein
KAGFDIAF_02057	CDS	456				hypothetical protein
KAGFDIAF_02058	CDS	234				hypothetical protein
KAGFDIAF_02059	CDS	819				hypothetical protein
KAGFDIAF_02060	CDS	486	klcA			Antirestriction protein KlcA
KAGFDIAF_02061	CDS	477				hypothetical protein
KAGFDIAF_02062	CDS	222				hypothetical protein
KAGFDIAF_02063	CDS	1062				hypothetical protein
KAGFDIAF_02064	CDS	375	cbtA			Cytoskeleton-binding toxin CbtA
KAGFDIAF_02065	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
KAGFDIAF_02066	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
KAGFDIAF_02067	CDS	1299	tig	5.2.1.8	COG0544	Trigger factor
KAGFDIAF_02068	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
KAGFDIAF_02069	CDS	579				hypothetical protein
KAGFDIAF_02070	CDS	1476	ampG		COG0477	Anhydromuropeptide permease
KAGFDIAF_02071	CDS	948	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
KAGFDIAF_02072	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
KAGFDIAF_02073	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
KAGFDIAF_02074	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
KAGFDIAF_02075	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
KAGFDIAF_02076	CDS	312				hypothetical protein
KAGFDIAF_02077	CDS	228				hypothetical protein
KAGFDIAF_02078	CDS	528	mdoH_1	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
KAGFDIAF_02079	CDS	1971	mdoH_2	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
KAGFDIAF_02080	CDS	1503	mdoG		COG3131	Glucans biosynthesis protein G
KAGFDIAF_02081	CDS	255	mdoC_1	2.1.-.-		Glucans biosynthesis protein C
KAGFDIAF_02082	CDS	876	mdoC_2	2.1.-.-		Glucans biosynthesis protein C
KAGFDIAF_02083	CDS	1482	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
KAGFDIAF_02084	CDS	534	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
KAGFDIAF_02085	CDS	312	ymdA			putative protein YmdA
KAGFDIAF_02086	CDS	333	csgC			Curli assembly protein CsgC
KAGFDIAF_02087	CDS	456	csgA			Major curlin subunit
KAGFDIAF_02088	CDS	456	csgB			Minor curlin subunit
KAGFDIAF_02089	CDS	651	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
KAGFDIAF_02090	CDS	390	csgE			Curli production assembly/transport component CsgE
KAGFDIAF_02091	CDS	417	csgF			Curli production assembly/transport component CsgF
KAGFDIAF_02092	CDS	423				hypothetical protein
KAGFDIAF_02093	CDS	360				hypothetical protein
KAGFDIAF_02094	CDS	558				hypothetical protein
KAGFDIAF_02095	CDS	825	iclR		COG1414	Transcriptional repressor IclR
KAGFDIAF_02096	CDS	912				hypothetical protein
KAGFDIAF_02097	CDS	534				hypothetical protein
KAGFDIAF_02098	CDS	1737	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
KAGFDIAF_02099	CDS	1305	aceA	4.1.3.1	COG2224	Isocitrate lyase
KAGFDIAF_02100	CDS	1602	aceB	2.3.3.9	COG2225	Malate synthase A
KAGFDIAF_02101	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
KAGFDIAF_02102	CDS	444	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
KAGFDIAF_02103	CDS	783	flgG		COG4786	Flagellar basal-body rod protein FlgG
KAGFDIAF_02104	CDS	699	flgH			Flagellar L-ring protein
KAGFDIAF_02105	CDS	1098	flgI			Flagellar P-ring protein
KAGFDIAF_02106	CDS	942	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
KAGFDIAF_02107	CDS	1644	flgK		COG1256	Flagellar hook-associated protein 1
KAGFDIAF_02108	CDS	954	flgL		COG1344	Flagellar hook-associated protein 3
KAGFDIAF_02109	CDS	3186	rne	3.1.26.12	COG1530	Ribonuclease E
KAGFDIAF_02110	CDS	960	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
KAGFDIAF_02111	CDS	624	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
KAGFDIAF_02112	CDS	285	yceD_1		COG1399	Large ribosomal RNA subunit accumulation protein YceD
KAGFDIAF_02113	CDS	159	yceD_2		COG1399	Large ribosomal RNA subunit accumulation protein YceD
KAGFDIAF_02114	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
KAGFDIAF_02115	CDS	597	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
KAGFDIAF_02116	CDS	384	ccmH_2		COG3088	Cytochrome c-type biogenesis protein CcmH
KAGFDIAF_02117	CDS	1623	ccmF_2		COG1138	Cytochrome c-type biogenesis protein CcmF
KAGFDIAF_02118	CDS	957				hypothetical protein
KAGFDIAF_02119	CDS	672	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
KAGFDIAF_02120	CDS	567	nrfB			Cytochrome c-type protein NrfB
KAGFDIAF_02121	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
KAGFDIAF_02122	CDS	1959	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
KAGFDIAF_02123	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
KAGFDIAF_02124	CDS	1650	actP		COG4147	Cation/acetate symporter ActP
KAGFDIAF_02125	CDS	1401	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
KAGFDIAF_02126	CDS	291	araH_1		COG1172	L-arabinose transport system permease protein AraH
KAGFDIAF_02127	CDS	672	araH_2		COG1172	L-arabinose transport system permease protein AraH
KAGFDIAF_02128	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
KAGFDIAF_02129	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
KAGFDIAF_02130	CDS	429	uspC		COG0589	Universal stress protein C
KAGFDIAF_02131	CDS	351	flhD			Flagellar transcriptional regulator FlhD
KAGFDIAF_02132	CDS	579	flhC			Flagellar transcriptional regulator FlhC
KAGFDIAF_02133	CDS	888	motA		COG1291	Motility protein A
KAGFDIAF_02134	CDS	927	motB		COG1360	Motility protein B
KAGFDIAF_02135	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
KAGFDIAF_02136	CDS	504	cheW		COG0835	Chemotaxis protein CheW
KAGFDIAF_02137	CDS	237				hypothetical protein
KAGFDIAF_02138	CDS	636	rph	2.7.7.56		Ribonuclease PH
KAGFDIAF_02139	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
KAGFDIAF_02140	CDS	597	slmA			Nucleoid occlusion factor SlmA
KAGFDIAF_02141	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
KAGFDIAF_02142	CDS	1221	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
KAGFDIAF_02143	CDS	669				hypothetical protein
KAGFDIAF_02144	CDS	237	rpmB		COG0227	50S ribosomal protein L28
KAGFDIAF_02145	CDS	168	rpmG		COG0267	50S ribosomal protein L33
KAGFDIAF_02146	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
KAGFDIAF_02147	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
KAGFDIAF_02148	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
KAGFDIAF_02149	CDS	1059	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
KAGFDIAF_02150	CDS	1125	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
KAGFDIAF_02151	CDS	798	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
KAGFDIAF_02152	CDS	1017				hypothetical protein
KAGFDIAF_02153	CDS	282	focC_1			Chaperone protein FocC
KAGFDIAF_02154	CDS	375	focC_2			Chaperone protein FocC
KAGFDIAF_02155	CDS	483				hypothetical protein
KAGFDIAF_02156	CDS	1323	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
KAGFDIAF_02157	CDS	267	hipB		COG1396	Antitoxin HipB
KAGFDIAF_02158	CDS	1551	icsA_1		COG3468	Outer membrane protein IcsA autotransporter
KAGFDIAF_02159	CDS	798	lsrD			Autoinducer 2 import system permease protein LsrD
KAGFDIAF_02160	CDS	1023	lsrB			Autoinducer 2-binding protein LsrB
KAGFDIAF_02161	CDS	876	lsrF	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
KAGFDIAF_02162	CDS	291	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
KAGFDIAF_02163	CDS	759	tam	2.1.1.144	COG4106	Trans-aconitate 2-methyltransferase
KAGFDIAF_02164	CDS	915				hypothetical protein
KAGFDIAF_02165	CDS	1452	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
KAGFDIAF_02166	CDS	417	pleD			Response regulator PleD
KAGFDIAF_02167	CDS	1719	tynA	1.4.3.21	COG3733	Primary amine oxidase
KAGFDIAF_02168	CDS	1500	feaB	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
KAGFDIAF_02169	CDS	906	feaR		COG2207	Transcriptional activator FeaR
KAGFDIAF_02170	CDS	327				hypothetical protein
KAGFDIAF_02171	CDS	186				hypothetical protein
KAGFDIAF_02172	CDS	2640				hypothetical protein
KAGFDIAF_02173	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
KAGFDIAF_02174	CDS	423	hslJ		COG3187	Heat shock protein HslJ
KAGFDIAF_02175	CDS	267				hypothetical protein
KAGFDIAF_02176	CDS	369				hypothetical protein
KAGFDIAF_02177	CDS	1266	ybiU			putative protein YbiU
KAGFDIAF_02178	CDS	1593	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
KAGFDIAF_02179	CDS	921	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
KAGFDIAF_02180	CDS	1119	ybiR		COG0471	Inner membrane protein YbiR
KAGFDIAF_02181	CDS	468	mntR		COG1321	Transcriptional regulator MntR
KAGFDIAF_02182	CDS	129	mntS			Small protein MntS
KAGFDIAF_02183	CDS	1584	opgE_2	2.7.-.-	COG2194	Phosphoethanolamine transferase OpgE
KAGFDIAF_02184	CDS	516	ompX_1		COG3637	Outer membrane protein X
KAGFDIAF_02185	CDS	888	rhtA		COG5006	Threonine/homoserine exporter RhtA
KAGFDIAF_02186	CDS	504	dps	1.16.-.-	COG0783	DNA protection during starvation protein
KAGFDIAF_02187	CDS	747	glnH		COG0834	Glutamine-binding periplasmic protein
KAGFDIAF_02188	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
KAGFDIAF_02189	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
KAGFDIAF_02190	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
KAGFDIAF_02191	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
KAGFDIAF_02192	CDS	228	ygdR_2			putative lipoprotein YgdR
KAGFDIAF_02193	CDS	918	gcvA			Glycine cleavage system transcriptional activator
KAGFDIAF_02194	CDS	396				hypothetical protein
KAGFDIAF_02195	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
KAGFDIAF_02196	CDS	732	ydjF_2		COG1349	putative HTH-type transcriptional regulator YdjF
KAGFDIAF_02197	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
KAGFDIAF_02198	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
KAGFDIAF_02199	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
KAGFDIAF_02200	CDS	441				hypothetical protein
KAGFDIAF_02201	CDS	765				hypothetical protein
KAGFDIAF_02202	CDS	903	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
KAGFDIAF_02203	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
KAGFDIAF_02204	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
KAGFDIAF_02205	CDS	897	xerC_2		COG4973	Tyrosine recombinase XerC
KAGFDIAF_02206	CDS	708				hypothetical protein
KAGFDIAF_02207	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
KAGFDIAF_02208	CDS	204				hypothetical protein
KAGFDIAF_02209	CDS	234				hypothetical protein
KAGFDIAF_02210	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
KAGFDIAF_02211	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
KAGFDIAF_02212	CDS	816	rhaR_3			HTH-type transcriptional activator RhaR
KAGFDIAF_02213	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
KAGFDIAF_02214	CDS	861	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
KAGFDIAF_02215	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
KAGFDIAF_02216	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
KAGFDIAF_02217	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
KAGFDIAF_02218	CDS	1278	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
KAGFDIAF_02219	CDS	474	yiaM		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
KAGFDIAF_02220	CDS	468	yhcH_2		COG2731	putative protein YhcH
KAGFDIAF_02221	CDS	999	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
KAGFDIAF_02222	CDS	849	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
KAGFDIAF_02223	CDS	474	hyfA_5	1.-.-.-	COG1142	Hydrogenase-4 component A
KAGFDIAF_02224	CDS	1254	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
KAGFDIAF_02225	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
KAGFDIAF_02226	CDS	855	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
KAGFDIAF_02227	CDS	720	lutA_1		COG0247	Lactate utilization protein A
KAGFDIAF_02228	CDS	1428	lutB		COG1139	Lactate utilization protein B
KAGFDIAF_02229	CDS	696	lutC		COG1556	Lactate utilization protein C
KAGFDIAF_02230	CDS	669				hypothetical protein
KAGFDIAF_02231	CDS	1671	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
KAGFDIAF_02232	CDS	1473	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
KAGFDIAF_02233	CDS	588	betI		COG1309	HTH-type transcriptional regulator BetI
KAGFDIAF_02234	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
KAGFDIAF_02235	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
KAGFDIAF_02236	CDS	3306	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
KAGFDIAF_02237	CDS	849	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
KAGFDIAF_02238	CDS	1353	dnaK_2			Chaperone protein DnaK
KAGFDIAF_02239	CDS	1941	yegI	2.7.-.-	COG4248	Protein kinase YegI
KAGFDIAF_02240	CDS	681	pphC	3.1.3.16		Serine/threonine-protein phosphatase 3
KAGFDIAF_02241	CDS	660				hypothetical protein
KAGFDIAF_02242	CDS	1437	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
KAGFDIAF_02243	CDS	504	ydiV_1		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
KAGFDIAF_02244	CDS	258	ydiV_2		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
KAGFDIAF_02245	CDS	465	mepS_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
KAGFDIAF_02246	CDS	750	btuD_3	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
KAGFDIAF_02247	CDS	552	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
KAGFDIAF_02248	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
KAGFDIAF_02249	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
KAGFDIAF_02250	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
KAGFDIAF_02251	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
KAGFDIAF_02252	CDS	357	rplT		COG0292	50S ribosomal protein L20
KAGFDIAF_02253	CDS	198	rpmI		COG0291	50S ribosomal protein L35
KAGFDIAF_02254	CDS	435	infC		COG0290	Translation initiation factor IF-3
KAGFDIAF_02255	CDS	1038	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
KAGFDIAF_02256	CDS	627				hypothetical protein
KAGFDIAF_02257	CDS	498	rayT		COG1943	REP-associated tyrosine transposase
KAGFDIAF_02258	CDS	1740	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
KAGFDIAF_02259	CDS	636	lafU		COG1360	Chemotaxis protein LafU
KAGFDIAF_02260	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
KAGFDIAF_02261	CDS	294	yafN		COG2161	Antitoxin YafN
KAGFDIAF_02262	CDS	399	yafO	3.1.-.-		mRNA interferase toxin YafO
KAGFDIAF_02263	CDS	375	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
KAGFDIAF_02264	CDS	267				hypothetical protein
KAGFDIAF_02265	CDS	501	prfB_2			Peptide chain release factor 2
KAGFDIAF_02266	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
KAGFDIAF_02267	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
KAGFDIAF_02268	CDS	1245				hypothetical protein
KAGFDIAF_02269	CDS	402	crl			Sigma factor-binding protein Crl
KAGFDIAF_02270	CDS	585	yraH			putative fimbrial-like protein YraH
KAGFDIAF_02271	CDS	696	yraI			putative fimbrial chaperone YraI
KAGFDIAF_02272	CDS	2517	yraJ		COG3188	Outer membrane usher protein YraJ
KAGFDIAF_02273	CDS	1092	yraK			putative fimbrial-like protein YraK
KAGFDIAF_02274	CDS	861	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
KAGFDIAF_02275	CDS	2037	lpoA		COG3107	Penicillin-binding protein activator LpoA
KAGFDIAF_02276	CDS	396				hypothetical protein
KAGFDIAF_02277	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
KAGFDIAF_02278	CDS	576	osmY_1		COG2823	Osmotically-inducible protein Y
KAGFDIAF_02279	CDS	1041				hypothetical protein
KAGFDIAF_02280	CDS	636				hypothetical protein
KAGFDIAF_02281	CDS	768				ISNCY family transposase ISSen7
KAGFDIAF_02282	CDS	1233	mdtM			Multidrug resistance protein MdtM
KAGFDIAF_02283	CDS	1281				hypothetical protein
KAGFDIAF_02284	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
KAGFDIAF_02285	CDS	768	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
KAGFDIAF_02286	CDS	258				hypothetical protein
KAGFDIAF_02287	CDS	972	yjiK		COG3204	putative protein YjiK
KAGFDIAF_02288	CDS	1179				hypothetical protein
KAGFDIAF_02289	CDS	555	kptA	2.7.1.-	COG1859	putative RNA 2'-phosphotransferase
KAGFDIAF_02290	CDS	684				hypothetical protein
KAGFDIAF_02291	CDS	462	yjiG		COG0700	Inner membrane protein YjiG
KAGFDIAF_02292	CDS	1173	iadA	3.4.19.-		Isoaspartyl dipeptidase
KAGFDIAF_02293	CDS	1356	melA	3.2.1.22	COG1486	Alpha-galactosidase
KAGFDIAF_02294	CDS	1410	melB		COG2211	Melibiose carrier protein
KAGFDIAF_02295	CDS	630	yjdF		COG3647	Inner membrane protein YjdF
KAGFDIAF_02296	CDS	1647	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
KAGFDIAF_02297	CDS	1341	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
KAGFDIAF_02298	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
KAGFDIAF_02299	CDS	711	dcuS_1	2.7.13.3	COG3290	Sensor histidine kinase DcuS
KAGFDIAF_02300	CDS	912	dcuS_2	2.7.13.3	COG3290	Sensor histidine kinase DcuS
KAGFDIAF_02301	CDS	231				hypothetical protein
KAGFDIAF_02302	CDS	273	yjdJ		COG2388	putative protein YjdJ
KAGFDIAF_02303	CDS	1299	mhpA	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
KAGFDIAF_02304	CDS	945	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
KAGFDIAF_02305	CDS	867	mhpC	3.7.1.14	COG0596	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
KAGFDIAF_02306	CDS	810	mhpD	4.2.1.80	COG3971	2-keto-4-pentenoate hydratase
KAGFDIAF_02307	CDS	951	mhpF	1.2.1.10	COG4569	Acetaldehyde dehydrogenase
KAGFDIAF_02308	CDS	1014	mhpE	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase
KAGFDIAF_02309	CDS	1212	mhpT			3-(3-hydroxy-phenyl)propionate transporter
KAGFDIAF_02310	CDS	540				hypothetical protein
KAGFDIAF_02311	CDS	834	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
KAGFDIAF_02312	CDS	1110	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
KAGFDIAF_02313	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
KAGFDIAF_02314	CDS	774				hypothetical protein
KAGFDIAF_02315	CDS	1059				hypothetical protein
KAGFDIAF_02316	CDS	1410	ygcS_2			Inner membrane metabolite transport protein YgcS
KAGFDIAF_02317	CDS	780				hypothetical protein
